Restaurant,Day,Food,Quantity,Price
Trattoria Trussardi,1,Lamb Chops with Apple Sauce,3,25.0
Savage Garden,1,Kakyoin's Cherry,1,3.5
Jade Garden,1,Poached Tofu with Dried Shrimps,7,12.0
Libeccio,1,Zucchero and Sale,6,0.6
Libeccio,1,Formaggio,3,12.5
Cafe Deux Magots,1,Spring Organic Omelette,4,23.0
Jade Garden,1,Braised Chicken in Black Bean Sauce,3,15.0
Savage Garden,1,Kakyoin's Porridge,4,4.44
Cafe Deux Magots,1,Truffle-flavoured Poultry Supreme,1,34.0
Jade Garden,1,Braised Goose Web with Vermicelli,1,21.0
Trattoria Trussardi,1,Caprese Salad,5,10.0
Savage Garden,1,Joseph's Tequila,2,35.0
Savage Garden,1,Giorno's Donuts,4,6.66
Jade Garden,1,Deep-fried Hiroshima Oysters,2,17.0
Libeccio,1,Ghiaccio,1,1.01
Libeccio,1,Melone,2,5.2
Savage Garden,1,DIO's Bread,3,36.14
Cafe Deux Magots,1,Sampling Matured Cheese Platter,1,20.0
Cafe Deux Magots,1,White Asparagus,5,26.0
Jade Garden,1,Scrambled Egg White with Milk,4,10.0
Trattoria Trussardi,1,Spaghetti alla Puttanesca,2,15.0
Trattoria Trussardi,1,Creme caramel,3,6.5
Cafe Deux Magots,1,Spring Lobster Salad,4,35.0
Savage Garden,2,Kakyoin's Cherry,2,3.5
Libeccio,2,Zucchero and Sale,3,0.6
Savage Garden,2,Kakyoin's Porridge,1,4.44
Cafe Deux Magots,2,Truffle-flavoured Poultry Supreme,3,34.0
Jade Garden,2,Braised Goose Web with Vermicelli,1,21.0
Trattoria Trussardi,2,Caprese Salad,3,10.0
Libeccio,2,Prosciutto and Pesci,3,20.23
Jade Garden,2,Deep-fried Hiroshima Oysters,6,17.0
Libeccio,2,Melone,4,5.2
Jade Garden,2,Scrambled Egg White with Milk,2,10.0
Trattoria Trussardi,2,Spaghetti alla Puttanesca,3,15.0
Trattoria Trussardi,2,Creme caramel,6,6.5
Trattoria Trussardi,2,Lamb Chops with Apple Sauce,1,25.0
Jade Garden,2,Poached Tofu with Dried Shrimps,3,12.0
Cafe Deux Magots,2,Spring Organic Omelette,4,23.0
Jade Garden,2,Braised Chicken in Black Bean Sauce,1,15.0
Libeccio,2,Risotto,3,13.14
Savage Garden,2,Joseph's Tequila,5,35.0
Savage Garden,2,Abbacchio's Tea,3,1.0
Savage Garden,2,Giorno's Donuts,2,6.66
Libeccio,2,Ghiaccio,1,1.01
Cafe Deux Magots,2,Sampling Matured Cheese Platter,5,20.0
Savage Garden,2,DIO's Bread,1,36.14
Cafe Deux Magots,2,White Asparagus,4,26.0
Cafe Deux Magots,2,Spring Lobster Salad,1,35.0
Savage Garden,3,Kakyoin's Cherry,3,3.5
Savage Garden,3,Kakyoin's Porridge,4,4.44
Libeccio,3,Zucchero and Sale,1,0.6
Jade Garden,3,Braised Goose Web with Vermicelli,4,21.0
Cafe Deux Magots,3,Truffle-flavoured Poultry Supreme,6,34.0
Trattoria Trussardi,3,Caprese Salad,4,10.0
Libeccio,3,Prosciutto and Pesci,1,20.23
Jade Garden,3,Deep-fried Hiroshima Oysters,3,17.0
Jade Garden,3,Scrambled Egg White with Milk,3,10.0
Trattoria Trussardi,3,Spaghetti alla Puttanesca,2,15.0
Trattoria Trussardi,3,Creme caramel,4,6.5
Trattoria Trussardi,3,Lamb Chops with Apple Sauce,3,25.0
Jade Garden,3,Poached Tofu with Dried Shrimps,1,12.0
Cafe Deux Magots,3,Spring Organic Omelette,3,23.0
Jade Garden,3,Braised Chicken in Black Bean Sauce,3,15.0
Libeccio,3,Formaggio,1,12.5
Libeccio,3,Risotto,3,13.14
Savage Garden,3,Joseph's Tequila,3,35.0
Savage Garden,3,Giorno's Donuts,5,6.66
Libeccio,3,Ghiaccio,1,1.01
Cafe Deux Magots,3,Sampling Matured Cheese Platter,7,23.0
Savage Garden,3,DIO's Bread,2,36.14
Cafe Deux Magots,3,Spring Lobster Salad,4,35.0
